




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2021-11-16
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (1348)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
calcium-dependent protein serine/threonine kinase activity (GO:0009931)	22	8	1.44	+	5.56	3.44E-04	3.01E-02
calcium-dependent protein kinase activity (GO:0010857)	23	8	1.51	+	5.31	4.39E-04	3.36E-02
translation repressor activity (GO:0030371)	25	8	1.64	+	4.89	6.93E-04	4.99E-02
transcription corepressor binding (GO:0001222)	46	12	3.01	+	3.99	1.76E-04	1.75E-02
transcription coregulator binding (GO:0001221)	113	28	7.40	+	3.79	2.97E-08	9.08E-06
polyubiquitin modification-dependent protein binding (GO:0031593)	54	12	3.53	+	3.40	6.15E-04	4.50E-02
modification-dependent protein binding (GO:0140030)	164	27	10.73	+	2.52	4.97E-05	5.66E-03
nuclear receptor binding (GO:0016922)	142	23	9.29	+	2.47	2.23E-04	2.15E-02
cadherin binding (GO:0045296)	324	51	21.21	+	2.40	9.45E-08	2.44E-05
transcription coactivator activity (GO:0003713)	281	41	18.39	+	2.23	1.00E-05	1.29E-03
RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	355	50	23.24	+	2.15	2.83E-06	4.96E-04
DNA-binding transcription factor binding (GO:0140297)	482	65	31.55	+	2.06	3.11E-07	7.24E-05
transcription factor binding (GO:0008134)	619	83	40.52	+	2.05	8.83E-09	3.09E-06
mRNA binding (GO:0003729)	314	42	20.55	+	2.04	4.87E-05	5.68E-03
transcription coregulator activity (GO:0003712)	512	66	33.51	+	1.97	1.07E-06	2.18E-04
cell adhesion molecule binding (GO:0050839)	551	69	36.06	+	1.91	1.60E-06	3.13E-04
chromatin binding (GO:0003682)	592	74	38.75	+	1.91	6.91E-07	1.54E-04
protein serine kinase activity (GO:0106310)	362	45	23.69	+	1.90	1.46E-04	1.52E-02
GTPase binding (GO:0051020)	299	37	19.57	+	1.89	5.36E-04	3.98E-02
protein domain specific binding (GO:0019904)	683	82	44.70	+	1.83	7.65E-07	1.63E-04
protein serine/threonine kinase activity (GO:0004674)	433	51	28.34	+	1.80	1.67E-04	1.70E-02
ubiquitin-protein transferase activity (GO:0004842)	435	50	28.47	+	1.76	3.57E-04	3.07E-02
protein serine/threonine/tyrosine kinase activity (GO:0004712)	448	51	29.32	+	1.74	4.30E-04	3.45E-02
actin binding (GO:0003779)	451	51	29.52	+	1.73	4.50E-04	3.39E-02
ubiquitin-like protein transferase activity (GO:0019787)	460	52	30.11	+	1.73	3.65E-04	3.08E-02
enzyme binding (GO:0019899)	2053	223	134.37	+	1.66	8.46E-13	5.18E-10
